source,target,weight
59,312,0.463
56,310,0.417
69,309,0.48
19,309,0.425
107,321,0.338
66,325,0.714
57,310,0.413
13,308,0.324
36,298,0.443
154,297,0.0
62,345,0.322
18,322,0.651
4,327,0.334
66,312,0.539
199,327,0.317
57,316,0.552
245,249,0.0
21,314,0.56
24,315,0.629
21,328,0.625
66,317,0.661
29,325,0.354
46,313,0.39
332,333,0.0
59,311,0.438
70,323,0.745
0,177,0.336
221,259,0.0
12,335,0.371
30,319,0.339
22,180,0.325
60,308,0.422
56,333,0.493
30,321,0.366
41,316,0.424
15,324,0.594
64,180,0.335
33,324,0.389
0,310,0.528
53,308,0.353
55,306,0.33
18,335,0.466
52,298,0.637
66,144,0.328
0,184,0.361
305,343,0.0
161,324,0.325
64,183,0.334
66,319,0.707
198,318,0.32
68,315,0.636
59,321,0.657
197,326,0.318
31,323,0.386
66,338,0.472
63,314,0.54
160,320,0.328
74,98,0.0
51,330,0.473
10,321,0.512
34,328,0.336
61,327,0.621
143,186,0.0
0,306,0.454
49,326,0.523
16,308,0.37
14,310,0.37
22,334,0.523
56,342,0.324
69,321,0.741
49,333,0.419
38,322,0.439
22,314,0.568
8,319,0.439
305,341,0.0
20,309,0.436
63,332,0.541
0,316,0.677
44,298,0.532
22,182,0.329
197,324,0.338
57,308,0.382
61,298,0.694
20,310,0.451
22,69,0.0
0,347,0.319
19,331,0.559
65,340,0.407
0,145,0.354
180,345,0.0
42,335,0.321
19,330,0.561
57,340,0.358
58,319,0.639
229,249,0.0
68,331,0.637
23,311,0.51
67,180,0.325
53,321,0.613
14,309,0.356
34,320,0.393
116,321,0.32
160,298,0.355
78,298,0.323
51,322,0.572
187,188,0.0
0,68,0.0
24,147,0.318
68,327,0.703
201,320,0.34
68,301,0.348
70,313,0.568
70,302,0.359
24,143,0.34
56,305,0.328
15,306,0.323
14,333,0.443
118,205,0.0
58,326,0.621
47,310,0.34
56,320,0.634
51,339,0.322
23,183,0.338
53,326,0.564
37,329,0.373
68,307,0.46
174,291,0.0
48,313,0.378
0,338,0.504
15,309,0.374
58,316,0.575
21,308,0.437
70,346,0.324
36,328,0.355
226,259,0.0
163,322,0.326
62,307,0.423
32,327,0.339
0,300,0.34
62,302,0.332
34,298,0.423
175,249,0.0
49,317,0.497
70,141,0.327
66,345,0.341
160,324,0.322
65,302,0.323
46,317,0.484
59,342,0.327
41,317,0.442
70,185,0.327
65,324,0.68
65,310,0.464
21,324,0.687
19,65,0.0
49,319,0.54
63,339,0.408
108,210,0.0
26,323,0.322
122,298,0.337
5,320,0.381
70,327,0.694
64,329,0.637
66,302,0.351
41,332,0.378
58,343,0.323
3,320,0.349
203,320,0.328
59,336,0.426
50,308,0.34
56,314,0.504
67,339,0.433
46,335,0.37
63,337,0.444
44,316,0.428
51,298,0.602
19,320,0.661
36,321,0.429
67,322,0.705
197,320,0.344
46,314,0.417
14,331,0.482
62,343,0.359
50,325,0.572
66,315,0.617
63,312,0.493
110,232,0.0
21,343,0.355
50,335,0.405
33,319,0.382
331,333,0.001
15,327,0.564
47,321,0.562
43,328,0.46
13,327,0.523
68,309,0.497
70,334,0.552
39,331,0.382
67,309,0.461
196,325,0.33
68,145,0.341
20,335,0.49
66,146,0.321
217,249,0.0
5,319,0.369
69,320,0.723
59,309,0.406
54,338,0.386
20,338,0.429
19,317,0.601
317,327,0.0
28,323,0.344
64,342,0.388
52,337,0.384
0,308,0.494
41,314,0.377
21,323,0.705
0,324,0.752
69,337,0.489
47,319,0.531
204,321,0.331
62,313,0.535
54,324,0.617
57,305,0.325
42,333,0.355
22,344,0.345
154,213,0.0
24,186,0.317
14,308,0.34
218,273,0.0
0,185,0.347
73,321,0.317
