id,name,x,y,hue
0,0,103,993,169
275,275,846,741,288
291,291,924,910,127
249,249,858,786,59
299,299,711,531,172
121,121,201,228,248
287,287,892,866,85
65,65,166,925,142
70,70,128,984,161
218,218,687,560,184
62,62,149,890,205
74,74,362,493,161
164,164,401,550,193
282,282,889,802,251
273,273,821,707,265
186,186,541,389,187
233,233,411,517,185
298,298,998,104,172
188,188,492,396,178
240,240,746,620,200
110,110,288,343,257
130,130,110,131,168
311,311,849,327,59
128,128,114,157,165
259,259,727,564,196
210,210,523,686,174
229,229,480,427,172
153,153,660,649,179
213,213,613,671,168
343,343,757,444,209
7,7,329,656,215
59,59,204,874,94
86,86,213,269,258
154,154,634,673,183
20,20,174,893,138
224,224,622,435,169
72,72,384,529,168
58,58,184,849,224
205,205,420,601,182
60,60,166,866,212
175,175,697,619,166
322,322,989,136,168
27,27,369,571,199
1,1,399,550,188
69,69,136,961,159
101,101,334,475,143
24,24,124,965,165
102,102,356,449,203
135,135,422,470,171
55,55,226,846,72
269,269,812,682,258
206,206,433,623,183
165,165,520,713,187
85,85,229,291,273
225,225,592,421,191
297,297,975,980,161
39,39,295,670,252
274,274,837,726,280
88,88,191,237,233
217,217,677,592,189
46,46,269,765,65
149,149,699,550,181
239,239,738,606,198
157,157,538,701,174
345,345,725,474,198
300,300,723,513,169
4,4,367,602,160
204,204,497,708,177
77,77,326,442,139
106,106,330,413,215
197,197,395,609,165
232,232,426,490,181
260,260,701,584,166
267,267,790,655,233
119,119,218,246,266
319,319,964,152,202
222,222,663,468,191
293,293,935,939,137
95,95,387,520,191
329,329,914,206,241
144,144,642,436,188
176,176,704,597,171
192,192,420,443,186
54,54,202,807,244
92,92,124,134,194
221,221,675,492,169
141,141,581,405,172
307,307,806,389,104
290,290,937,877,208
264,264,731,630,157
137,137,463,430,179
327,327,921,169,236
234,234,407,569,175
104,104,337,432,210
15,15,224,810,261
48,48,281,760,74
242,242,767,648,211
50,50,233,771,272
251,251,885,829,82
116,116,212,293,81
75,75,351,477,156
159,159,479,684,172
99,99,327,493,132
281,281,853,807,54
309,309,829,357,76
21,21,157,910,205
31,31,351,596,206
113,113,250,349,54
32,32,372,620,160
136,136,439,450,168
139,139,524,402,183
174,174,691,640,180
331,331,888,228,269
284,284,908,816,231
208,208,471,664,174
305,305,781,429,139
182,182,634,409,174
256,256,954,929,155
214,214,638,653,177
193,193,405,467,170
241,241,756,632,205
314,314,893,261,90
226,226,566,413,175
235,235,994,991,168
262,262,715,611,162
263,263,766,618,214
304,304,769,449,149
40,40,326,695,128
129,129,146,140,205
317,317,935,194,218
294,294,970,922,195
91,91,141,158,201
341,341,772,404,221
117,117,228,278,273
172,172,661,670,189
108,108,311,393,230
156,156,577,693,172
308,308,817,372,89
223,223,649,453,166
181,181,655,426,191
278,278,839,783,56
56,56,197,826,236
33,33,343,614,210
13,13,252,772,56
22,22,152,927,154
257,257,962,945,158
338,338,836,369,67
168,168,585,715,183
347,347,720,543,168
90,90,157,186,208
237,237,713,573,189
292,292,946,902,202
109,109,302,367,242
216,216,667,614,192
191,191,441,426,180
143,143,621,418,192
178,178,700,484,184
247,247,830,746,64
328,328,948,206,152
167,167,558,717,182
36,36,344,650,147
41,41,283,693,263
187,187,513,390,172
195,195,391,506,165
316,316,923,212,228
303,303,758,461,156
310,310,838,343,67
118,118,195,266,102
150,150,697,579,181
313,313,876,288,71
238,238,728,589,194
196,196,392,592,171
162,162,415,617,178
184,184,582,390,169
219,219,681,538,169
89,89,178,215,221
100,100,366,472,198
243,243,780,667,221
131,131,122,114,196
122,122,164,229,140
43,43,269,723,274
231,231,433,468,190
61,61,189,897,114
29,29,359,581,203
151,151,688,606,188
44,44,300,744,92
258,258,975,963,163
250,250,871,805,69
