source,target,weight
0,1,0.011
1,11,0.008
1,798,0.017
2,16,0.047
2,23,0.053
4,5,0.02
6,33,0.019
6,41,0.014
7,34,0.058
8,17,0.025
10,2,0.055
11,10,0.013
11,42,0.014
12,4,0.024
13,6,0.03
14,13,0.043
15,14,0.013
16,29,0.054
17,18,0.019
18,21,0.045
18,62,0.072
19,22,0.081
20,19,0.007
20,28,0.029
21,9,0.057
21,27,0.015
22,7,0.062
23,12,0.023
23,26,0.062
24,20,0.045
27,25,0.037
28,8,0.03
29,696,0.06
30,3,0.049
30,31,0.036
31,40,0.059
32,46,0.019
32,47,0.019
35,36,0.019
35,48,0.018
36,37,0.007
37,592,0.054
38,50,0.036
39,38,0.043
39,66,0.042
40,39,0.055
41,695,0.054
42,32,0.004
43,30,0.042
43,51,0.045
44,45,0.009
47,43,0.04
49,35,0.023
50,53,0.033
50,54,0.047
52,621,0.072
54,49,0.028
56,71,0.075
58,61,0.048
60,59,0.066
61,60,0.044
62,56,0.065
63,67,0.023
64,65,0.057
65,63,0.038
65,118,0.044
69,68,0.016
70,76,0.033
71,64,0.058
71,112,0.025
72,70,0.014
72,114,0.02
73,72,0.023
74,91,0.038
75,78,0.022
76,92,0.031
76,297,0.044
77,111,0.038
79,69,0.031
79,75,0.039
81,57,0.029
83,58,0.039
84,85,0.014
84,86,0.033
85,88,0.026
86,93,0.017
86,207,0.018
88,100,0.014
88,205,0.019
90,94,0.036
91,98,0.048
92,80,0.027
93,90,0.032
94,95,0.014
95,99,0.02
95,103,0.036
96,83,0.012
96,108,0.032
98,79,0.042
98,104,0.02
99,74,0.017
99,77,0.021
100,101,0.009
101,122,0.014
102,135,0.023
103,89,0.027
103,129,0.004
106,81,0.059
107,105,0.036
108,97,0.012
108,215,0.02
109,87,0.026
109,106,0.046
111,303,0.048
112,73,0.012
112,113,0.008
114,115,0.041
115,131,0.017
118,126,0.022
119,142,0.025
120,133,0.035
121,84,0.037
122,119,0.01
124,121,0.023
125,134,0.061
126,125,0.016
126,136,0.011
127,132,0.022
128,124,0.038
128,137,0.007
130,117,0.033
130,140,0.032
132,128,0.014
133,168,0.029
134,148,0.026
135,120,0.018
136,130,0.035
138,116,0.041
139,138,0.03
140,141,0.017
141,139,0.05
143,127,0.034
144,143,0.031
145,144,0.014
146,145,0.025
147,146,0.052
148,147,0.013
148,149,0.02
151,150,0.023
151,188,0.038
152,153,0.012
153,154,0.022
154,155,0.008
155,151,0.024
156,157,0.024
157,158,0.032
157,159,0.027
158,167,0.02
159,164,0.026
161,162,0.026
163,156,0.037
163,161,0.026
164,160,0.029
164,165,0.027
165,166,0.02
166,152,0.027
167,169,0.015
168,163,0.034
169,123,0.037
170,193,0.021
171,179,0.016
172,173,0.008
173,174,0.024
173,194,0.021
174,175,0.012
175,177,0.004
175,178,0.009
176,170,0.009
177,176,0.004
178,187,0.017
179,172,0.015
179,185,0.009
180,171,0.016
181,183,0.03
183,180,0.01
183,182,0.007
184,189,0.02
186,184,0.023
188,186,0.021
189,181,0.018
190,202,0.015
193,195,0.015
194,196,0.022
194,203,0.03
195,190,0.026
