id,name,x,y,hue
0,0,-0.0135623,0.59686,
558,558,-0.00307286,0.835496,
453,453,-0.0399878,0.839177,
584,584,0.0161423,0.873232,
487,487,0.0364354,0.858036,
637,637,0.0868786,0.120752,
519,519,0.0112252,0.853667,
357,357,-0.0413322,0.840951,
716,716,-0.0661567,0.328349,
275,275,-0.0564539,0.0838527,
530,530,0.0356165,0.855915,
789,789,-0.0877316,0.0199294,
389,389,-0.0293472,0.849224,
586,586,0.00667512,0.840779,
410,410,-0.0384521,0.889208,
433,433,-0.0070405,0.786227,
765,765,-0.0513756,0.026159,
521,521,0.00599595,0.854434,
451,451,-0.0282423,0.855604,
291,291,-0.0393299,0.0120576,
443,443,-0.0344689,0.756983,
798,798,-0.00131428,0.61086,
779,779,-0.0841877,0.0314082,
249,249,-0.060961,0.167166,
638,638,0.0890131,0.12265,
299,299,-0.0385402,0.605205,
121,121,0.0106955,0.377537,
734,734,-0.0887195,0.165205,
287,287,-0.0708126,0.0215207,
65,65,0.0747757,0.548692,
702,702,-0.076404,0.275716,
70,70,-0.0195735,0.634259,
218,218,-0.0557773,0.214,
648,648,0.0668112,0.19401,
812,812,0.0149747,0.57508,
62,62,-0.0782727,0.556823,
74,74,-0.0276678,0.481414,
774,774,-0.0664649,0.066844,
475,475,-9.8253E-4,0.803812,
497,497,0.0230589,0.76119,
580,580,0.0104977,0.808472,
164,164,0.0650548,0.297951,
282,282,-0.0631751,0.045878,
769,769,-0.0936444,0.0769166,
799,799,-0.0045477,0.60938,
273,273,-0.0506201,0.0672901,
186,186,0.0605375,0.168982,
430,430,-0.0153034,0.830381,
641,641,0.0668284,0.150182,
529,529,0.00921715,0.812231,
370,370,-0.0339096,0.769963,
834,834,0.0102125,0.564767,
233,233,-0.0754581,0.307809,
298,298,-0.00512635,0.580518,
188,188,0.0721539,0.186422,
240,240,-0.0827281,0.0883749,
110,110,0.0430687,0.554398,
130,130,0.0929759,0.535943,
620,620,0.0517272,0.370467,
311,311,-0.00206525,0.733099,
128,128,0.0438845,0.411723,
399,399,-0.02464,0.847192,
377,377,-0.0240724,0.810356,
468,468,0.00285683,0.86309,
259,259,-0.0746449,0.186418,
210,210,-0.104255,0.417092,
229,229,-0.0530477,0.248557,
153,153,0.0499006,0.224481,
621,621,0.101119,0.355632,
213,213,-0.107855,0.433997,
670,670,0.0746823,0.0781222,
343,343,-0.0171054,0.839102,
472,472,0.012751,0.803459,
7,7,-0.0466856,0.36707,
59,59,-0.0105137,0.331236,
473,473,0.0105825,0.805368,
86,86,-0.0571512,0.377301,
756,756,-0.100881,0.230101,
830,830,-0.00174016,0.508611,
613,613,0.0656305,0.294865,
491,491,0.0392455,0.812602,
154,154,0.0538353,0.223322,
20,20,-0.104698,0.462045,
224,224,-0.0895913,0.269236,
355,355,-0.0444895,0.851839,
592,592,0.110217,0.447792,
610,610,0.0749054,0.330498,
806,806,-0.00237018,0.584937,
571,571,0.0319989,0.759526,
466,466,-0.0169975,0.874812,
72,72,-0.0103404,0.635159,
454,454,-0.0174051,0.869721,
463,463,-0.00156609,0.869933,
851,851,0.0237214,0.366256,
770,770,-0.0947579,0.0718708,
814,814,0.00318153,0.580108,
859,859,0.0137042,0.277386,
58,58,-0.0832774,0.377985,
205,205,-0.0268966,0.357813,
555,555,0.0183714,0.794917,
552,552,0.00947902,0.814267,
60,60,-0.0689647,0.358511,
835,835,0.00623629,0.565733,
459,459,-0.0391215,0.790369,
175,175,0.0534167,0.0904398,
322,322,-0.0266569,0.726587,
510,510,0.0193764,0.838832,
662,662,0.0756206,0.073181,
27,27,-0.101938,0.556905,
352,352,-0.045438,0.848685,
493,493,0.00505292,0.791938,
416,416,-0.040298,0.897464,
777,777,-0.103954,0.0324528,
694,694,-0.0322564,0.356784,
1,1,-0.005967,0.604354,
631,631,0.0961521,0.0891085,
854,854,0.0289772,0.453381,
69,69,-0.0562434,0.55185,
101,101,6.294E-5,0.363454,
24,24,-0.0929321,0.421273,
547,547,0.0501242,0.895734,
102,102,2.987E-5,0.351879,
788,788,-0.0878984,0.00734524,
713,713,-0.079755,0.259641,
385,385,-0.0435243,0.835671,
135,135,0.0175516,0.349236,
397,397,-0.0264085,0.804519,
773,773,-0.0841731,0.075573,
490,490,0.036225,0.856201,
752,752,-0.0835451,0.118623,
354,354,-0.0389393,0.858974,
360,360,-0.0165947,0.821011,
55,55,0.0839081,0.524237,
568,568,0.0514505,0.895848,
797,797,-0.0148151,0.554201,
688,688,0.0551621,-0.00480607,
763,763,-0.0909708,0.200574,
269,269,-0.0688606,0.0673992,
676,676,0.10189,0.0304347,
448,448,-0.00506722,0.813505,
527,527,0.010992,0.8087,
206,206,-0.0299602,0.353542,
165,165,0.0684932,0.271178,
715,715,-0.0814161,0.312676,
387,387,-0.0427177,0.855914,
652,652,0.0991436,0.0333077,
683,683,0.108464,0.0115541,
85,85,-0.0237604,0.367555,
721,721,-0.0788965,0.353391,
